Timestamp,From Bank,From Account,To Bank,To Account,Amount,Currency,Amount Received,Currency Received,Payment Format,Is Laundering
2022/09/01 02:38,001812,80279F810,0110,8000A94C0,10154.74,Australian Dollar,10154.74,Australian Dollar,ACH,1
2022/09/02 14:36,022595,80279F8B0,0110,8000A94C0,5326.79,Australian Dollar,5326.79,Australian Dollar,ACH,1
2022/09/03 14:09,001120,800E36A50,0110,8000A94C0,4634.81,Australian Dollar,4634.81,Australian Dollar,ACH,1
2022/09/01 00:06,70,10042B660,1231,80018A810,10895.97,US Dollar,10895.97,US Dollar,Credit Card,0
2022/09/01 00:22,70,10042B660,1231,80018A810,7984.69,US Dollar,7984.69,US Dollar,Cash,0
2022/09/01 00:08,224,80018CB10,224,80018CB10,3.58,US Dollar,3.58,US Dollar,Reinvestment,0
2022/09/01 00:10,1217,80018D4A0,1217,80018D4A0,5001678.66,US Dollar,5001678.66,US Dollar,Reinvestment,0
2022/09/01 00:10,20,80018DBF0,20,80018DBF0,24.68,US Dollar,24.68,US Dollar,Reinvestment,0
2022/09/01 00:18,11,80018E610,11,80018E610,1165.09,US Dollar,1165.09,US Dollar,Reinvestment,0
2022/09/01 00:01,1,80018FAF0,1,80018FAF0,18.15,US Dollar,18.15,US Dollar,Reinvestment,0
2022/09/01 00:24,224,800114030,11,800191640,48790.03,US Dollar,48790.03,US Dollar,Cheque,0
2022/09/01 00:23,224,800114030,11,800191640,4226.7,US Dollar,4226.7,US Dollar,ACH,0
2022/09/01 00:20,11,800191640,11,800191640,18.71,US Dollar,18.71,US Dollar,Reinvestment,0
2022/09/01 00:00,224,800191BC0,224,800191BC0,16962.69,US Dollar,16962.69,US Dollar,Reinvestment,0
2022/09/01 00:16,20,800192300,20,800192300,3.51,US Dollar,3.51,US Dollar,Reinvestment,0
2022/09/01 00:03,70,10042B660,224,800192930,78982.61,US Dollar,78982.61,US Dollar,Cheque,0
2022/09/01 00:27,20,800193160,20,800193160,103467.32,US Dollar,103467.32,US Dollar,Reinvestment,0
2022/09/01 00:02,1231,8001938C0,1231,8001938C0,39235.57,US Dollar,39235.57,US Dollar,Reinvestment,0
2022/09/01 00:18,1217,800194B60,1217,800194B60,234464.03,US Dollar,234464.03,US Dollar,Reinvestment,0
2022/09/01 03:17,003671,801BF8E70,002557,8016B3750,8099.96,Euro,8099.96,Euro,ACH,1
2022/09/01 06:27,015,80074C7E0,002557,8016B3750,10468.56,Euro,10468.56,Euro,ACH,1
2022/09/01 10:04,002557,80107C9A0,002557,8016B3750,10270.07,Euro,10270.07,Euro,ACH,1
2022/09/02 06:35,012,800A9B180,002557,8016B3750,15645.21,Euro,15645.21,Euro,ACH,1
2022/09/03 09:12,021393,801271170,002557,8016B3750,14139.75,Euro,14139.75,Euro,ACH,1
2022/09/03 13:45,002175,801E25F20,002557,8016B3750,6276.26,Euro,6276.26,Euro,ACH,1
2022/09/03 16:17,020,800043BE0,002557,8016B3750,1042.63,Euro,1042.63,Euro,ACH,1
2022/09/03 23:09,022124,8011D0180,002557,8016B3750,12795.57,Euro,12795.57,Euro,ACH,1
2022/09/01 03:52,023848,801A0BEB0,01835,800F963A0,13573.24,Euro,13573.24,Euro,ACH,1
2022/09/01 05:37,00498,8013B3270,01835,800F963A0,3651.60,Euro,3651.60,Euro,ACH,1
2022/09/02 03:28,00349,80049FE00,01835,800F963A0,6980.43,Euro,6980.43,Euro,ACH,1
2022/09/02 17:21,01835,800F963A0,012386,800F07C90,16003.44,Euro,16003.44,Euro,ACH,1
2022/09/02 19:24,01835,800F963A0,01595,8014DDE40,8201.82,Euro,8201.82,Euro,ACH,1
2022/09/03 11:23,01835,800F963A0,0224,801C56FF0,7648.13,US Dollar,7648.13,US Dollar,ACH,1
2022/09/04 17:18,01835,800F963A0,011,800775EE0,9383.90,Euro,9383.90,Euro,ACH,1
2022/09/05 12:17,01835,800F963A0,02514,80143C140,9340.49,Euro,9340.49,Euro,ACH,1
2022/09/06 17:16,01835,800F963A0,022086,800CD0BE0,18261.63,US Dollar,18261.63,US Dollar,ACH,1
2022/09/01 05:54,011,8001048F0,000,8001B1630,3530.20,Euro,3530.20,Euro,ACH,1
2022/09/01 06:28,000,8001B1630,003,80033F3B0,3530.20,Euro,3530.20,Euro,ACH,1
2022/09/01 10:28,003,80033F3B0,011,8001DC570,4730.57,US Dollar,4730.57,US Dollar,ACH,1
2022/09/01 14:32,011,8001DC570,01768,8007F5C20,4139.13,Euro,4139.13,Euro,ACH,1
2022/09/02 11:51,01768,8007F5C20,01231,800379FA0,4723.36,US Dollar,4723.36,US Dollar,ACH,1
