Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:08,11,8000ECA90,11,8000ECA90,3195403,US Dollar,3195403,US Dollar,Reinvestment,0
2022/09/01 00:21,3402,80021DAD0,3402,80021DAD0,1858.96,US Dollar,1858.96,US Dollar,Reinvestment,0
2022/09/01 00:00,11,8000ECA90,1120,8006AA910,592571,US Dollar,592571,US Dollar,Cheque,0
2022/09/01 00:16,3814,8006AD080,3814,8006AD080,12.32,US Dollar,12.32,US Dollar,Reinvestment,0
2022/09/01 00:00,20,8006AD530,20,8006AD530,2941.56,US Dollar,2941.56,US Dollar,Reinvestment,0
2022/09/01 00:24,12,8006ADD30,12,8006ADD30,6473.62,US Dollar,6473.62,US Dollar,Reinvestment,0
2022/09/01 00:17,11,800059120,1217,8006AD4E0,60562,US Dollar,60562,US Dollar,ACH,0
2022/09/01 00:07,11,8000ECA90,11,8000ECA90,22.97,US Dollar,22.97,US Dollar,Reinvestment,0
2022/09/01 00:28,1120,8006AA910,243166,81470DCF0,43.53,US Dollar,43.53,US Dollar,Credit Card,0
2022/09/01 00:22,1217,8006AD4E0,1217,8006AD4E0,5.04,US Dollar,5.04,US Dollar,Reinvestment,0
2022/09/01 00:28,224,8006AD580,23319,80567ED00,9.28,US Dollar,9.28,US Dollar,Credit Card,0
2022/09/01 00:28,394,8006AF210,214342,805586EA0,93.85,US Dollar,93.85,US Dollar,Credit Card,0
2022/09/01 00:29,3618,800929EA0,1277,800929EF0,0.05,US Dollar,0.05,US Dollar,ACH,0
2022/09/01 00:08,394,80093BDB0,21414,80092A6C0,64335,US Dollar,64335,US Dollar,ACH,0
2022/09/01 00:04,1291,80092A730,1291,80092A730,3975.24,US Dollar,3975.24,US Dollar,Reinvestment,0
2022/09/01 00:20,1231,800B69730,11265,80092AC50,1986,US Dollar,1986,US Dollar,Cheque,0
2022/09/01 00:14,394,80093BDB0,394,80093BDB0,14903.78,US Dollar,14903.78,US Dollar,Reinvestment,0
2022/09/01 00:23,1231,800B69730,21414,80093CED0,217,US Dollar,217,US Dollar,ACH,0
2022/09/01 00:05,20,800952940,20,800952940,21126.92,US Dollar,21126.92,US Dollar,Reinvestment,0
2022/09/01 00:03,31811,800A8FCD0,31811,800A8FCD0,4455.63,US Dollar,4455.63,US Dollar,Reinvestment,0
2022/09/01 00:28,1638,800A8FE50,1638,800A8FE50,4755.32,US Dollar,4755.32,US Dollar,Reinvestment,0
2022/09/01 00:05,31813,800A91030,31813,800A91030,295.65,US Dollar,295.65,US Dollar,Reinvestment,0
2022/09/01 00:16,31993,800B63C60,31993,800B63C60,3065.41,US Dollar,3065.41,US Dollar,Reinvestment,0
2022/09/01 00:15,1277,80092A7D0,11968,800B69E00,473,US Dollar,473,US Dollar,Cheque,0
2022/09/01 00:15,1638,800A8FE50,20,800B99960,2863.22,US Dollar,2863.22,US Dollar,Cheque,0
2022/09/01 00:22,1277,800B999B0,1277,800B999B0,559.19,US Dollar,559.19,US Dollar,Reinvestment,0
2022/09/01 00:22,21414,80092A6C0,122459,80AE66170,52.12,US Dollar,52.12,US Dollar,Credit Card,0
2022/09/01 00:06,1217,80092A780,11,80132E8A0,21.96,US Dollar,21.96,US Dollar,Credit Card,0
2022/09/01 00:03,11265,80092AC50,23041,80690A920,53.17,US Dollar,53.17,US Dollar,Credit Card,0
2022/09/01 00:28,394,80092B090,8801,80690A9C0,6.6,US Dollar,6.6,US Dollar,Credit Card,0
2022/09/01 00:03,1639,80092C5F0,3653,810135120,38.45,US Dollar,38.45,US Dollar,Credit Card,0
2022/09/01 00:24,1277,80093C800,219975,8034B3870,34.67,US Dollar,34.67,US Dollar,Credit Card,0
2022/09/01 00:12,1110,80093CC60,122459,80AE66170,11.37,US Dollar,11.37,US Dollar,Credit Card,0
2022/09/01 00:25,12,80093CD00,27234,80AE71680,6.84,US Dollar,6.84,US Dollar,Credit Card,0
2022/09/01 00:18,21414,80093CED0,29264,81013D0A0,0.78,US Dollar,0.78,US Dollar,Credit Card,0
2022/09/01 00:14,11222,80093DA30,117916,81013A5C0,9.53,US Dollar,9.53,US Dollar,Credit Card,0
2022/09/01 00:10,11222,800B63A50,11,80132E8A0,41.01,US Dollar,41.01,US Dollar,Credit Card,0
2022/09/01 00:12,20,800B63DE0,219975,8034B3870,1.82,US Dollar,1.82,US Dollar,Credit Card,0
2022/09/01 00:16,1422,800B69DB0,110856,80DFEBEE0,27.07,US Dollar,27.07,US Dollar,Credit Card,0
2022/09/01 00:24,11968,800B69E00,110856,80DFEBEE0,282.37,US Dollar,282.37,US Dollar,Credit Card,0
2022/09/01 00:21,20,800B6A1B0,122459,80AE66170,41.85,US Dollar,41.85,US Dollar,Credit Card,0
2022/09/01 00:18,1889,8009EB590,2545,81013ED10,19.2,US Dollar,19.2,US Dollar,Credit Card,0
2022/09/01 00:01,20,800B99960,8801,80690A9C0,147.63,US Dollar,147.63,US Dollar,Credit Card,0
2022/09/01 00:06,1277,800B999B0,1277,800B999B0,10.48,US Dollar,10.48,US Dollar,Reinvestment,0
2022/09/01 00:29,1291,800B9BC30,1291,800B9BC30,59713.16,US Dollar,59713.16,US Dollar,Reinvestment,0
2022/09/01 00:22,12,800BA4BE0,1422,800B9BC80,111111,US Dollar,111111,US Dollar,Cheque,0
2022/09/01 00:17,1277,800BA09D0,1277,800BA09D0,5259.14,US Dollar,5259.14,US Dollar,Reinvestment,0
2022/09/01 00:23,32042,800BA0F40,1439,800BBF6C0,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/09/01 00:25,1807,800BBF0C0,11,800BA4C30,19302,US Dollar,19302,US Dollar,Cheque,0
2022/09/01 00:28,1231,800BA4F40,1231,800BA4F40,1190.82,US Dollar,1190.82,US Dollar,Reinvestment,0
2022/09/01 00:26,32050,800BA59F0,32050,800BA59F0,609.17,US Dollar,609.17,US Dollar,Reinvestment,0
2022/09/01 00:19,2860,800BA6B40,11222,800BBE6F0,3400.37,US Dollar,3400.37,US Dollar,ACH,0
2022/09/01 00:21,1807,800BBF0C0,1807,800BBF0C0,7055.95,US Dollar,7055.95,US Dollar,Reinvestment,0
2022/09/01 00:04,1439,800BBF4A0,1439,800BBF4A0,6683.36,US Dollar,6683.36,US Dollar,Reinvestment,0
2022/09/01 00:02,1439,800BBF6C0,224,800BC0ED0,400,US Dollar,400,US Dollar,ACH,0
2022/09/01 00:06,1291,800B9BC30,1291,800B9BC30,3.46,US Dollar,3.46,US Dollar,Reinvestment,0
2022/09/01 00:29,1422,800B9BC80,261455,817C3BC30,28.47,US Dollar,28.47,US Dollar,Credit Card,0
2022/09/01 00:04,1394,800BA0980,219368,81B5F74D0,0.58,US Dollar,0.58,US Dollar,Credit Card,0
2022/09/01 00:23,12,800BA4BE0,12,800BA4BE0,14.7,US Dollar,14.7,US Dollar,Reinvestment,0
2022/09/01 00:07,11,800BA4C30,231039,80DE8B440,152,US Dollar,152,US Dollar,Credit Card,0
2022/09/01 00:19,21566,800BA4CD0,11047,801D8C110,130.39,US Dollar,130.39,US Dollar,Credit Card,0
2022/09/01 00:01,12063,800BA4D20,12063,800BA4D20,15.27,US Dollar,15.27,US Dollar,Reinvestment,0
2022/09/01 00:19,394,800BA4EF0,23747,810190500,43.81,US Dollar,43.81,US Dollar,Credit Card,0
2022/09/01 00:06,1231,800BBE260,261455,817C3BC30,189.6,US Dollar,189.6,US Dollar,Credit Card,0
2022/09/01 00:10,11222,800BBE6F0,261455,817C3BC30,48.58,US Dollar,48.58,US Dollar,Credit Card,0
2022/09/01 00:04,1439,800BBF4A0,1439,800BBF4A0,8.13,US Dollar,8.13,US Dollar,Reinvestment,0
2022/09/01 00:11,1439,800BBF6C0,1439,800BBF6C0,11.98,US Dollar,11.98,US Dollar,Reinvestment,0
2022/09/01 00:02,1422,800BC0E30,220729,809E507C0,143.65,US Dollar,143.65,US Dollar,Credit Card,0
2022/09/01 00:18,224,800BC0ED0,259461,81A99A780,9.22,US Dollar,9.22,US Dollar,Credit Card,0
2022/09/01 00:00,1120,800BC4DC0,37146,80FE04360,0.36,US Dollar,0.36,US Dollar,Credit Card,0
2022/09/01 00:11,11701,800BC6AF0,11701,800BC6AF0,1107318.59,US Dollar,1107318.59,US Dollar,Reinvestment,0
2022/09/01 00:28,349,800BC6CC0,349,800BC6CC0,4940.92,US Dollar,4940.92,US Dollar,Reinvestment,0
2022/09/01 00:29,32081,800BC6D10,1439,800BDF9C0,41.11,US Dollar,41.11,US Dollar,Wire,0
2022/09/01 00:05,11265,800BD0DD0,349,800BC6E90,2672.39,US Dollar,2672.39,US Dollar,ACH,0
2022/09/01 00:14,11495,800BC8570,11495,800BC8570,9944.83,US Dollar,9944.83,US Dollar,Reinvestment,0
2022/09/01 00:21,1439,800BC93A0,1439,800BC93A0,6924.15,US Dollar,6924.15,US Dollar,Reinvestment,0
2022/09/01 00:26,1277,800BC93F0,1277,800BC93F0,4400.96,US Dollar,4400.96,US Dollar,Reinvestment,0
2022/09/01 00:21,21393,800BDE650,1120,800BCE950,5329268,US Dollar,5329268,US Dollar,Cheque,0
2022/09/01 00:25,32091,800BCEE60,1277,800BC93F0,1674.05,US Dollar,1674.05,US Dollar,Cheque,0
2022/09/01 00:22,11265,800BD0DD0,11701,800BDDA30,6645,US Dollar,6645,US Dollar,ACH,0
2022/09/01 00:29,21393,800BDE650,21393,800BDE650,3204.1,US Dollar,3204.1,US Dollar,Reinvestment,0
2022/09/01 00:23,349,800BC6CC0,1217,800BDE6A0,46720,US Dollar,46720,US Dollar,ACH,0
2022/09/01 00:29,1439,800BDF9C0,1439,800BDF9C0,4081.72,US Dollar,4081.72,US Dollar,Reinvestment,0
2022/09/01 00:18,20,800057660,11495,800BC8570,154661,US Dollar,154661,US Dollar,ACH,0
2022/09/01 00:20,349,800BC6E90,21566,816C60240,40.84,US Dollar,40.84,US Dollar,Credit Card,0
